source_id,name,prefecture,category,lat,lng,image_url
Q11665410,風俗博物館,京都府,時裝博物館,34.9933890,135.7533330,http://commons.wikimedia.org/wiki/Special:FilePath/Izutsu-Samegai%20building.jpg
Q85875943,京都府立京都学・歴彩館,京都府,都道府県立図書館,35.0486111,135.7666667,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Institute%2C%20Library%20and%20Archives%20ac%20%281%29.jpg
Q60987195,嵯峨嵐山文華館,京都府,文學館,35.0136111,135.6738889,http://commons.wikimedia.org/wiki/Special:FilePath/Saga%20Arashiyama%20Museum%20of%20Arts%20and%20Culture.jpg
Q11673927,魚知識館,京都府,水族館,35.5561539,135.2552281,
Q11309480,立体模型·京都·日本,京都府,立體透視模型,35.0186390,135.6801390,http://commons.wikimedia.org/wiki/Special:FilePath/Diorama%20Kyoto%2001.jpg
Q1201304,京都塔,京都府,觀光塔,34.9875000,135.7591667,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Tower%202023-12%20ac%20%281%29.jpg
Q11375621,京都水族館,京都府,水族館,34.9875560,135.7476110,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Aquarium%20in%202013-5-2%20No%2C27.JPG
Q56062380,京都府立山城郷土資料館,京都府,地方文化館,34.7522222,135.8338889,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Prefectural%20Yamashiro%20Regional%20Museum%20exterior%20view.jpg
Q11442700,天橋立View Land,京都府,主題公園,35.5525000,135.1817500,http://commons.wikimedia.org/wiki/Special:FilePath/%E3%83%AA%E3%83%95%E3%83%88%E5%B1%B1%E9%A0%82%E9%A7%85.jpg
Q53737773,漢検 漢字博物館・図書館,京都府,语言博物馆,35.0033333,135.7766667,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%BC%A2%E5%AD%97%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%20-%20%E5%85%A5%E5%8F%A3.jpg
Q11594351,福知山鉄道館ポッポランド,京都府,鐵路博物館,35.3016670,135.1256110,http://commons.wikimedia.org/wiki/Special:FilePath/Fukuchiyama%20Poppoland%20frontview.jpg
Q783923,京都國際漫畫博物館,京都府,動漫博物館,35.0116867,135.7591715,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BA%AC%E9%83%BD%E5%9B%BD%E9%9A%9B%E3%83%9E%E3%83%B3%E3%82%AC%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0.jpg
Q123124346,任天堂博物館,京都府,公司博物館,34.8927780,135.7841670,http://commons.wikimedia.org/wiki/Special:FilePath/Nintendo%20Museum%20Entrance.jpg
Q132529195,京都祇園らんぷ美術館,京都府,工藝博物館,35.0032550,135.7773290,
Q11375592,京都文化博物馆,京都府,歷史博物館,35.0091667,135.7622222,http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20of%20Kyoto%2020101204-002.jpg
Q11559290,海軍紀念館,京都府,海軍博物館,35.4751670,135.3721110,http://commons.wikimedia.org/wiki/Special:FilePath/Naval%20museum%20Japan01s3200.jpg
Q127588655,北野天満宮宝物殿,京都府,宝物館,35.0305859,135.7356157,http://commons.wikimedia.org/wiki/Special:FilePath/Kitano-tenmangu%20Kyoto%20Japan23s3s4500.jpg
Q3329667,霊山歴史館,京都府,歷史博物館,34.9989444,135.7826389,http://commons.wikimedia.org/wiki/Special:FilePath/Ryozen%20Museum%20of%20History.JPG
Q125002905,楽美術館,京都府,陶瓷博物館,35.0255218,135.7534750,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Raku%20Museum%202013-08A.JPG
Q127601370,松本明慶佛像彫刻美術館,京都府,彫刻美術館,35.0226680,135.7575540,
Q11579925,白沙村荘,京都府,纪念博物馆,35.0268810,135.7936690,http://commons.wikimedia.org/wiki/Special:FilePath/090711%20Hakusasonsou%20Kyoto%20Japan30s3.jpg
Q7380607,るり渓,京都府,觀光景點,35.0358170,135.4046080,http://commons.wikimedia.org/wiki/Special:FilePath/Meibaku%2C%20Rurikei02.JPG
Q3196329,貴船,京都府,門前町,35.1216667,135.7627778,http://commons.wikimedia.org/wiki/Special:FilePath/Kibune%20Kawadoko01s5s4272.jpg
Q11375006,京都市平安京创世馆,京都府,歷史博物館,35.0190000,135.7384440,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Asny%20and%20City%20Central%20Library%2020090502-001.jpg
Q11635286,赤れんが博物館,京都府,陶瓷博物館,35.4760830,135.3874440,http://commons.wikimedia.org/wiki/Special:FilePath/Red%20brick%20museum01s3200.jpg
Q123091932,ウトロ平和祈念館,京都府,歷史博物館,34.8806115,135.7741665,
Q11398627,加悅SL廣場,京都府,鉄道公園,35.4814170,135.0928060,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%8A%A0%E6%82%A6SL%E5%BA%83%E5%A0%B4%20%E9%A7%85%E8%88%8E%20%E5%B1%95%E7%A4%BA%E5%AE%A42.jpg
Q131911087,芦田均記念館,京都府,纪念博物馆,35.2601390,135.1786670,
Q11613699,舞鶴市政記念館,京都府,歷史博物館,35.4746670,135.3854440,http://commons.wikimedia.org/wiki/Special:FilePath/Maizuru%20Commemoration%20hall.jpg
Q133289013,醍醐寺霊宝館,京都府,宝物館,34.9510180,135.8192850,
Q123688246,鴨川デルタ,京都府,河岸,35.0299000,135.7717000,http://commons.wikimedia.org/wiki/Special:FilePath/%E9%B4%A8%E5%B7%9D%E3%83%87%E3%83%AB%E3%82%BF3.jpg
Q147286,京都國立博物館,京都府,國立博物館,34.9899930,135.7731210,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20National%20Museum%202009.jpg
Q137773108,チームラボ バイオヴォルテックス 京都,京都府,現代美術館,34.9837070,135.7649480,
Q132529270,京都絞り工芸館,京都府,織物博物館,35.0100760,135.7537070,
Q137917525,丹波生活衣館,京都府,民俗博物館,35.2974420,135.1291390,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%B8%B9%E6%B3%A2%E7%94%9F%E6%B4%BB%E8%A1%A3%E9%A4%A8.png
Q11482389,平安博物館,京都府,歷史博物館,35.0087500,135.7622222,http://commons.wikimedia.org/wiki/Special:FilePath/Former%20Bank%20of%20Japan%20building%2C%20Kyoto%20Branch.jpg
Q11581197,益富地学会館,京都府,地質学博物館,35.0213520,135.7586890,http://commons.wikimedia.org/wiki/Special:FilePath/%E7%9B%8A%E5%AF%8C%E5%9C%B0%E5%AD%A6%E4%BC%9A%E9%A4%A8.jpg
Q17210134,ききょうの里,京都府,觀光景點,35.0320833,135.4913889,
Q133269160,広隆寺霊宝殿,京都府,宝物館,35.0155000,135.7074720,http://commons.wikimedia.org/wiki/Special:FilePath/K%C3%B4ry%C3%BB-ji%20Temple%20-%20Reih%C3%B4-den.jpg
Q133288972,仁和寺霊宝館,京都府,宝物館,35.0292870,135.7143700,
Q11506183,日本的鬼之交流博物館,京都府,博物館,35.4590280,135.1444440,
Q104721135,亀岡市文化資料館,京都府,博物館,35.0135240,135.5854870,http://commons.wikimedia.org/wiki/Special:FilePath/Kameoka%20City%20Cultural%20Museum.jpg
Q11483478,平等院鳳翔館,京都府,博物館,34.8887044,135.8073916,http://commons.wikimedia.org/wiki/Special:FilePath/Byodoin%20Uji%20Kyoto19s3s4410.jpg
Q64143380,向日市文化資料館,京都府,文化機構,34.9495400,135.6995600,
